Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Central African Republic,CAF,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.14008045,9.923370361,,,,,,,,8.949319839,9.93076992,,9.214730263,12.02801991,12.0644598,9.680470467,10.05424023,9.869480133,7.860000134,7.836929798,6.475379944,7.825459957,,,,8.386739731,7.319019794,8.895050049,9.135499954,9.797809601,9.782440186,9.088689804
Canada,CAN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,15.57890034,15.53180981,14.77497005,14.09080029,13.2368803,12.68319988,13.45582962,13.53853989,13.56976986,13.19062042,14.26379967,13.11614037,14.62347984,12.93443012,12.86363029,,,12.63957977,12.74188042,12.98260021,12.21224022,12.14789963,,,12.17807007,,12.32855988,12.00996017,12.48363972,12.33596039,12.21914005,,,,,,,,,,
Central Europe and the Baltics,CEB,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.72865009,,11.27880955,10.1390152,10.32361031,11.13685465,10.92234993,11.64437962,11.00590038,12.07252026,12.27688026,11.35066986,11.45131016,11.12903023,11.05198956,10.89570045,10.9589448,9.60243988,10.40814972,11.54648018,11.28394985,10.84708023,11.12355042,,,
Switzerland,CHE,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,15.59389973,15.52194977,15.73204041,15.45471954,16.15731049,15.81579018,17.18164063,17.17259026,,16.15929985,15.51152039,15.31004047,15.27908993,,14.55200958,14.33310032,14.45215988,15.25533962,15.18126011,16.19942093,16.09639931,15.70398998,15.85387993,15.56042004,15.88504028,15.52213955,15.28763962,15.4477396,15.47541046,15.09508991,15.3224802,15.38914013,15.36124039,15.46181965,15.52665997,,,
Channel Islands,CHI,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5188303,14.13241959,15.02462006,15.75998974,14.5041399,15.1703701,15.65221977,16.42790985,,17.45059967,17.63722038,17.0210495,16.19908905,16.23127937,16.74641037,17.40113068,17.0356102,17.84355927,17.7497406,,19.64569092,19.92071915,19.59404945,21.15547943,21.31155014,21.37952995,,,
China,CHN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,9.563249588,9.76224041,10.68737984,10.43900967,9.461580276,10.74394035,,,,12.2905302,14.77394962,20.0649395,18.71717072,19.50534058,,14.55140972,12.63156033,,,,,,,,,,,13.55206966,13.0781002,14.4071703,13.31540966,12.75261021,12.25983047,12.26955986,12.15530014,11.45069027,,,
Cote d'Ivoire,CIV,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.22014999,18.81475067,21.67118073,20.80694962,23.20203018,22.59230042,22.6482296,22.10716057,21.84568977,20.01789093,20.75588036,21.52691078,22.19046974,22.77275085,22.42686081,20.85876083,21.57472992,21.76678085,21.17321968,22.38759995,20.63349915,18.2890892,17.37957954,15.08218002,14.97817993
Cameroon,CMR,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.68369961,15.73330975,,21.44202042,20.84712029,21.37760925,20.31266022,21.37933922,15.70061016,19.77979088,18.75388908,14.8677702,15.17621994,13.82495022,12.87975979,13.24398994,12.69468975,15.91281033,16.88315964,14.0946703,14.38990974,14.8910799
"Congo, Dem. Rep.",COD,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.578499794,,,16.17473984,10.55391979,11.73836994,14.63541985,14.00642014,,,,
